YEAR,DOY,PRECTOTCORR,T2M,T2MDEW,RH2M,WS10M,PS
2010,193,20.97,18.93,14.32,78.54,2.96,77.36
2010,194,9.63,18.04,11.82,71.93,2.37,77.58
2010,195,0.46,18.81,13.56,75.46,2.17,77.71
2010,196,2.96,20.09,12.79,66.69,2.38,77.74
2010,197,1.2,21.03,14.77,70.46,2.55,77.63
2010,198,0.91,20.14,16.33,82.26,2.17,77.64
2010,199,5.87,20.9,17.24,82.77,2.44,77.49
2010,200,26.42,20.34,17.29,85.16,3.15,77.29
2010,201,48.06,18.93,16.5,88.88,3.03,77.38
2010,202,46.95,17.93,14.99,85.53,2.06,77.49
2010,203,28.05,16.86,13.2,82.87,1.82,77.57
2010,204,1.32,18.36,14.62,81.61,2.1,77.46
2010,205,1.4,18.94,16.27,87.15,2.37,77.25
2010,206,3.37,19.3,17.01,89.15,1.88,77.27
2010,207,17.06,18.12,16.72,93.24,2.65,77.43
2010,208,21.22,17.24,15.09,89.05,1.78,77.64
2010,209,10.83,17.61,14.27,83.12,1.33,77.68
2010,210,5.6,18.67,15.92,86.37,2.15,77.59
2010,211,27.55,19.15,16.52,87.08,2.52,77.5
2010,212,45.82,18.36,17.11,94.08,3.06,77.54
2010,213,20.91,17.03,15.0,90.26,1.73,77.66
2010,214,3.57,18.76,15.84,85.5,2.29,77.62
2010,215,2.41,17.95,16.64,93.4,3.09,77.51
2010,216,5.5,17.97,14.58,82.88,1.63,77.52
2010,217,14.65,18.43,16.33,89.14,2.71,77.64
2010,218,12.69,18.17,16.68,92.61,2.3,77.88
2010,219,13.38,18.11,16.21,90.78,2.33,77.82
2010,220,12.25,17.72,16.19,92.76,2.5,77.69
2010,221,6.13,18.52,16.2,88.07,2.53,77.62
2010,222,6.23,18.71,16.89,91.23,2.41,77.63
2010,223,0.48,18.57,16.93,92.17,2.79,77.61
2010,224,1.81,17.73,16.71,95.11,2.39,77.65
2010,225,20.34,17.43,15.75,91.45,1.97,77.69
2010,226,8.41,17.36,15.22,89.21,1.98,77.65
2010,227,7.95,18.74,15.99,86.09,2.25,77.79
2010,228,9.42,18.76,17.2,92.52,2.4,77.83
2010,229,13.27,18.92,17.65,93.56,2.61,77.51
2010,230,22.26,18.75,17.62,94.16,2.83,77.43
2010,231,16.01,18.65,17.9,96.52,2.56,77.64
2010,232,3.25,17.91,15.97,90.61,2.13,77.86
2010,233,20.92,17.92,16.52,93.15,2.51,77.68
2010,234,11.64,17.67,15.65,91.13,2.01,77.58
2010,235,12.0,18.0,15.92,90.05,1.97,77.5
2010,236,28.19,18.01,16.09,91.37,2.33,77.42
2010,237,13.47,16.95,13.41,84.21,1.61,77.69
2010,238,8.16,16.61,12.75,81.54,1.57,77.79
2010,239,0.0,17.78,14.27,83.0,1.79,77.71
2010,240,3.85,18.36,14.75,82.84,1.97,77.67
2010,241,2.63,18.1,14.67,84.02,2.04,77.65
2010,242,4.51,18.24,15.24,85.6,1.96,77.56
2010,243,1.23,17.78,16.66,94.4,2.88,77.57
2010,244,9.05,18.16,16.54,92.13,2.15,77.74
2010,245,10.45,18.52,17.2,93.62,2.83,77.7
2010,246,11.66,17.67,16.5,94.26,2.96,77.62
2010,247,4.71,17.74,15.7,90.71,2.26,77.54
2010,248,5.5,17.38,15.61,91.86,2.28,77.66
2010,249,2.78,17.66,15.99,91.93,2.02,77.63
2010,250,29.39,17.73,14.77,86.15,1.8,77.58
2010,251,10.19,17.28,14.24,86.32,1.78,77.76
2010,252,8.25,16.85,14.61,89.2,1.79,77.86
2010,253,1.74,17.06,13.81,84.39,1.54,77.71
2010,254,8.05,17.22,13.28,81.47,1.74,77.69
2010,255,52.79,16.26,13.22,86.44,1.11,77.72
2010,256,4.01,15.85,13.51,89.55,1.78,77.67
2010,257,3.28,15.65,11.62,81.14,1.62,77.59
2010,258,0.12,15.06,11.02,82.22,1.96,77.64
2010,259,9.91,14.84,10.09,76.92,1.85,77.67
2010,260,5.34,14.55,9.23,74.07,1.9,77.67
2010,261,1.74,14.05,7.71,70.2,2.12,77.66
2010,262,26.44,13.95,8.16,71.27,1.45,77.81
2010,263,1.53,15.35,11.89,82.63,1.73,77.88
2010,264,13.15,16.24,13.96,88.68,1.95,77.87
2010,265,23.07,15.45,13.15,89.05,1.61,77.83
2010,266,37.36,14.86,11.67,84.03,1.67,77.85
2010,267,2.12,14.05,10.65,84.99,1.75,77.81
2010,268,0.0,13.61,7.75,73.37,1.88,77.91
2010,269,0.0,13.56,6.33,66.19,2.01,78.04
2010,270,0.0,13.62,5.82,63.59,2.21,78.05
2010,271,0.0,14.13,5.88,62.0,1.97,78.02
2010,272,0.0,14.03,5.12,59.55,2.13,78.1
2010,273,0.0,14.1,5.24,58.93,2.17,78.09
2010,274,0.93,14.56,5.55,58.37,1.9,78.07
2010,275,0.13,14.03,7.0,66.37,1.89,78.07
2010,276,0.0,13.75,7.74,69.9,1.85,78.06
2010,277,0.0,13.45,8.79,77.38,1.87,77.97
2010,278,0.0,13.71,8.47,77.13,1.76,77.88
2010,279,0.0,13.63,9.08,79.61,1.83,77.85
2010,280,0.0,13.69,9.15,78.64,1.71,77.84
2010,281,0.12,13.54,9.55,80.81,1.9,77.72
2010,282,0.0,13.01,9.28,83.18,1.98,77.47
2010,283,0.0,12.72,6.67,71.42,1.82,77.48
2010,284,0.0,12.22,5.87,69.8,1.93,77.81
2010,285,0.0,11.92,4.73,65.56,2.19,78.02
2010,286,0.0,12.84,4.24,61.06,2.16,77.94
2010,287,0.0,14.0,3.87,55.65,1.94,77.86
2010,288,0.0,15.17,5.39,56.56,1.92,77.96
2010,289,0.0,15.07,6.73,62.28,1.92,77.99
2010,290,0.0,14.56,8.39,72.04,1.69,78.0
2010,291,0.0,14.14,9.21,78.3,1.63,78.09
2010,292,0.0,14.08,8.85,75.46,1.67,78.1
2010,293,0.0,13.42,8.25,75.0,1.75,78.01
2010,294,6.48,10.86,7.46,83.77,2.14,77.69
2010,295,1.86,9.7,5.24,77.61,2.15,77.47
2010,296,0.38,8.4,3.68,75.61,2.53,77.61
2010,297,0.0,9.12,-3.16,44.69,1.93,77.75
2010,298,0.0,9.43,-2.17,46.45,2.08,77.92
2010,299,0.0,9.4,-1.59,48.61,2.0,78.09
2010,300,0.0,8.81,-2.16,48.88,2.1,78.16
2010,301,0.0,9.61,-3.2,43.13,2.09,78.12
2010,302,0.0,11.4,-2.07,41.65,1.51,78.18
2010,303,0.0,10.07,0.08,52.56,1.49,78.36
2010,304,0.0,9.83,-0.21,52.48,1.94,78.32
2010,305,0.0,9.81,0.2,53.93,1.83,78.1
2010,306,0.0,10.25,-0.58,50.08,1.96,78.15
2010,307,0.0,10.93,-1.94,43.39,2.02,78.28
2010,308,0.0,11.62,-1.8,42.02,1.9,78.22
2010,309,0.0,11.88,-2.46,39.47,1.76,78.24
2010,310,0.0,11.19,-3.2,38.97,1.67,78.15
2010,311,0.0,10.46,-1.13,47.23,2.1,78.24
2010,312,0.0,11.15,-2.76,40.69,2.02,78.4
2010,313,0.0,11.97,-4.02,35.15,1.88,78.52
2010,314,0.0,11.38,-4.11,35.85,2.01,78.25
2010,315,0.0,11.16,-3.72,37.04,1.58,78.02
2010,316,0.04,9.99,-3.81,39.69,1.69,77.78
2010,317,0.0,9.4,-5.76,35.5,1.51,77.84
2010,318,0.0,8.44,-5.29,39.04,1.95,78.26
2010,319,0.0,8.49,-3.42,44.96,2.18,78.33
2010,320,0.0,8.49,-1.08,53.37,2.02,78.12
2010,321,0.0,8.6,-0.74,55.45,2.2,78.12
2010,322,4.58,7.46,2.77,75.55,2.22,78.1
2010,323,0.06,6.32,1.4,73.14,1.82,77.87
2010,324,0.0,6.36,-1.0,61.71,1.91,77.68
2010,325,0.0,8.0,-5.02,41.85,2.09,77.69
2010,326,0.0,8.54,-4.75,40.9,1.89,77.82
2010,327,0.0,7.81,-4.67,42.59,1.54,77.96
2010,328,0.0,7.46,-3.92,46.75,2.17,78.06
2010,329,0.0,8.99,2.63,66.51,1.9,78.05
2010,330,0.0,8.78,1.28,63.26,1.88,77.87
2010,331,0.0,7.68,-1.79,54.8,1.95,77.82
2010,332,0.0,6.45,-4.34,50.54,2.11,77.97
2010,333,0.0,6.11,-6.4,43.85,1.95,78.04
2010,334,0.0,6.42,-7.78,37.7,2.11,77.86
2010,335,0.0,6.39,-7.94,36.99,1.93,77.84
2010,336,0.0,5.67,-7.56,40.02,1.86,77.97
2010,337,0.0,5.83,-8.81,35.56,2.07,78.01
2010,338,0.0,6.37,-7.21,38.73,1.73,77.92
2010,339,0.0,5.73,-6.93,41.92,2.04,77.9
2010,340,0.0,5.96,-7.76,38.82,2.25,78.03
2010,341,0.0,6.63,-8.71,34.55,1.98,78.04
2010,342,0.0,6.08,-8.63,36.75,2.12,77.8
2010,343,0.0,5.35,-3.11,57.82,1.8,77.65
2010,344,0.0,5.07,-2.11,63.81,1.78,77.48
2010,345,0.0,4.67,-5.79,49.64,1.89,77.4
2010,346,0.0,5.24,-8.74,37.85,1.96,77.27
2010,347,0.0,5.37,-6.46,42.99,1.42,77.61
2010,348,0.0,5.04,-8.29,39.46,1.94,77.78
2010,349,0.0,5.84,-10.41,30.91,2.11,77.84
2010,350,0.0,6.21,-9.63,32.12,1.56,77.87
2010,351,0.0,3.66,-9.49,38.67,1.98,77.83
2010,352,0.0,2.64,-9.66,40.46,1.72,77.81
2010,353,0.0,2.33,-12.97,32.89,2.26,78.06
2010,354,0.0,4.79,-10.8,31.61,2.23,78.12
2010,355,0.0,5.24,-11.58,28.92,1.89,77.81
2010,356,0.0,4.21,-10.12,34.7,1.61,77.48
2010,357,0.0,2.85,-7.06,48.73,1.8,77.56
2010,358,0.0,2.51,-8.07,47.21,1.88,77.76
2010,359,0.0,2.26,-11.66,36.39,2.16,77.72
2010,360,0.0,3.17,-10.74,36.34,1.85,77.74
2010,361,0.0,2.46,-10.75,38.43,2.31,77.84
2010,362,0.0,3.33,-10.49,36.58,2.28,77.95
2010,363,1.36,3.83,-1.18,73.17,2.64,77.9
2010,364,26.22,1.32,-0.08,93.34,1.44,77.59
2010,365,3.12,-0.95,-3.78,87.2,1.27,77.37
2011,1,0.0,-2.35,-11.05,59.57,2.33,77.55
2011,2,0.0,0.21,-14.64,36.99,2.28,77.64
2011,3,0.0,0.27,-14.38,36.2,2.52,77.88
2011,4,0.0,2.17,-12.58,34.7,2.15,77.83
2011,5,0.0,-0.46,-14.49,36.42,2.37,77.77
2011,6,0.0,0.6,-13.85,34.66,2.55,77.94
2011,7,0.0,2.73,-10.36,37.45,1.92,77.83
2011,8,0.0,0.5,-8.04,53.97,1.92,77.58
2011,9,0.0,-1.24,-9.99,55.62,2.42,77.65
2011,10,0.0,-0.72,-14.87,37.03,2.75,77.7
2011,11,0.0,2.86,-8.41,44.78,2.22,77.64
2011,12,0.0,1.47,-9.02,49.05,2.31,77.59
2011,13,0.16,0.67,-10.27,45.48,2.05,77.62
2011,14,2.92,0.9,-3.85,74.31,3.23,77.55
2011,15,2.63,-0.64,-2.04,94.39,3.69,77.44
2011,16,0.0,-2.22,-11.78,56.52,2.34,77.5
2011,17,0.01,1.33,-11.06,40.75,1.25,77.45
2011,18,0.0,-0.45,-6.64,66.0,1.88,77.51
2011,19,0.0,-1.09,-12.85,46.14,2.87,77.53
2011,20,0.02,2.85,-11.44,36.2,1.7,77.79
2011,21,0.0,1.77,-5.37,62.11,1.97,77.86
2011,22,0.0,-0.61,-11.41,48.23,2.18,77.84
2011,23,0.0,-1.22,-11.97,47.99,2.77,77.97
2011,24,0.0,-1.33,-12.79,45.72,2.92,77.9
2011,25,0.15,-1.15,-10.96,50.02,2.38,77.87
2011,26,0.03,-0.91,-10.04,53.66,2.26,78.08
2011,27,0.0,0.63,-13.0,37.03,2.53,78.08
2011,28,0.0,2.34,-10.3,39.69,2.1,77.92
2011,29,0.0,2.78,-6.7,51.29,1.8,77.84
2011,30,0.05,1.11,-3.81,72.54,1.91,77.93
2011,31,0.0,2.49,-9.29,44.3,2.53,78.07
2011,32,0.0,3.95,-9.88,38.61,2.77,78.05
2011,33,0.0,5.46,-8.48,37.64,2.66,78.09
2011,34,0.0,7.84,-4.95,41.62,2.48,78.17
2011,35,0.0,7.37,-1.2,57.5,2.01,78.16
2011,36,0.01,5.98,-1.76,60.72,2.22,77.95
2011,37,0.83,4.21,-0.59,72.73,2.36,77.84
2011,38,10.01,2.83,0.57,88.23,4.19,77.46
2011,39,0.06,1.06,-10.43,47.55,2.6,77.58
2011,40,0.0,2.29,-11.32,38.37,2.84,77.57
2011,41,0.0,3.76,-8.55,42.42,2.41,77.75
2011,42,0.0,4.58,-6.25,48.05,2.36,77.93
2011,43,0.32,6.0,-3.49,52.42,1.87,77.85
2011,44,5.9,3.38,0.41,83.6,2.34,77.62
2011,45,2.87,3.56,-0.7,78.89,1.99,77.53
2011,46,4.95,1.44,-3.14,76.65,2.12,77.41
2011,47,10.26,1.67,-2.52,79.66,2.15,77.48
2011,48,0.27,0.34,-5.83,68.06,1.78,77.63
2011,49,0.06,-0.47,-9.59,55.46,2.3,77.6
2011,50,0.23,2.02,-4.82,62.81,2.26,77.84
2011,51,0.03,1.17,-4.86,68.48,2.13,78.0
2011,52,0.0,0.84,-10.07,51.29,3.0,78.06
2011,53,0.0,3.86,-8.16,44.54,2.02,77.93
2011,54,0.24,3.13,-4.0,62.97,1.83,77.96
2011,55,0.1,1.88,-2.74,75.83,1.91,77.81
2011,56,1.73,1.11,-2.6,80.29,1.79,77.58
2011,57,4.52,0.61,-2.61,83.5,2.03,77.66
2011,58,0.0,0.86,-6.6,65.34,1.54,78.04
2011,59,0.3,2.95,-8.53,46.56,2.15,78.03
2011,60,0.7,3.06,-0.6,79.88,1.81,77.94
2011,61,2.05,2.51,-2.05,76.12,2.2,77.85
2011,62,2.27,3.53,1.45,89.78,2.48,77.74
2011,63,0.38,3.52,-1.45,75.9,2.2,77.82
2011,64,0.0,1.85,-9.56,48.38,2.79,77.95
2011,65,0.0,4.1,-7.64,46.57,2.8,78.13
2011,66,0.0,5.36,-7.98,41.1,2.61,78.13
2011,67,0.0,5.78,-4.34,51.91,2.45,77.79
2011,68,0.0,5.56,-2.35,59.83,2.28,77.69
2011,69,0.0,5.29,-3.43,56.3,2.38,77.95
2011,70,0.0,6.46,-5.0,47.84,2.7,77.95
2011,71,0.0,7.76,-6.2,39.75,2.91,77.93
2011,72,0.0,9.73,-5.2,37.89,2.89,77.93
2011,73,0.0,11.26,-5.2,34.88,2.77,77.97
2011,74,0.0,12.85,-4.75,32.21,2.69,78.23
2011,75,0.0,12.91,-3.17,35.86,2.78,78.05
2011,76,0.0,13.55,0.2,43.6,2.72,77.88
2011,77,0.06,11.85,2.65,56.74,2.3,77.66
2011,78,1.66,10.09,2.34,62.6,3.38,77.32
2011,79,0.13,8.75,-2.72,48.77,2.44,77.4
2011,80,0.0,8.49,-4.32,44.26,3.0,77.63
2011,81,0.0,9.85,-4.97,38.49,2.72,77.77
2011,82,0.0,10.45,-3.78,39.74,2.55,77.93
2011,83,0.0,10.33,-2.74,43.46,2.69,77.99
2011,84,0.0,10.76,-2.04,44.77,3.02,77.95
2011,85,0.0,11.95,-1.0,44.41,3.17,78.0
2011,86,0.04,12.08,-0.5,46.8,3.11,77.91
2011,87,0.52,11.98,1.32,51.96,2.88,77.81
2011,88,5.82,11.42,3.24,61.73,3.76,77.89
2011,89,0.46,9.6,0.23,56.32,2.11,77.95
2011,90,0.0,9.06,-4.86,41.64,2.94,77.82
2011,91,0.07,9.16,-2.72,47.03,2.82,77.81
2011,92,0.59,9.41,-5.28,39.3,2.5,77.87
2011,93,1.6,8.28,-2.62,47.96,3.11,77.9
2011,94,0.08,7.64,-6.56,40.01,2.96,77.9
2011,95,0.17,8.9,-2.86,45.71,2.43,78.03
2011,96,0.03,9.12,-2.92,44.79,2.38,78.02
2011,97,0.0,9.24,-2.59,46.23,2.57,78.02
2011,98,0.0,10.49,-4.89,36.72,2.64,77.97
2011,99,0.0,11.47,-4.89,34.08,2.72,78.06
2011,100,1.07,9.21,-0.72,51.1,2.05,78.24
2011,101,1.66,11.41,2.91,58.94,2.55,78.15
2011,102,1.07,11.95,4.66,65.04,3.94,77.92
2011,103,0.15,11.7,2.58,57.41,2.62,77.96
2011,104,0.0,12.42,2.97,55.83,2.48,77.9
